datetime,HPI_inf,Fips,HPI_pre
2014-01-01,271.28517823639777,28,261.5397327615526
2014-01-01,305.42851782363977,29,304.1177188560547
2014-01-01,422.7962476547843,30,433.93191717428687
2014-01-01,295.5305816135085,31,303.8040865895904
2014-01-01,274.6223264540338,32,302.8666152401497
2014-01-01,435.2935272045029,33,457.90793293332604
2014-01-01,520.7426829268293,34,536.5975911859055
2014-01-01,321.1834896810507,35,322.6532116518592
2014-01-01,637.5088180112571,36,665.279382026031
2014-01-01,341.5923076923077,37,351.0529780403001
2014-01-01,362.77298311444656,38,348.5033978612317
2014-01-01,267.9707317073171,39,266.8107064266577
2014-01-01,237.6412757973734,40,225.22328292509036
2014-01-01,436.5080675422139,41,475.078571730069
2014-01-01,417.17757973733586,42,416.3579126048098
2014-01-01,499.61876172607884,44,548.419983737376
2014-01-01,346.1666979362102,45,369.66318191302497
2014-01-01,351.05891181988744,46,355.8256250649422
2014-01-01,327.846435272045,47,316.98545723168377
2014-01-01,273.65750469043155,48,273.75662499409367
2014-01-01,387.24540337711073,49,409.1549482083419
2014-01-01,491.7526266416511,50,522.1380486431951
2014-01-01,454.14727954971863,51,451.4033846534206
2014-01-01,470.8216697936211,53,514.4670573613365
2014-01-01,236.99427767354598,54,240.77975973053128
2014-01-01,328.4593808630394,55,345.7520554667959
2014-01-01,315.29240150093807,56,316.53066658106457
2014-04-01,311.3569206997311,1,312.9934225855016
2014-04-01,340.14511176620385,2,326.85953391688804
2014-04-01,341.239333762069,4,359.8267747853896
2014-04-01,279.83881496316184,5,272.23769563575263
2014-04-01,547.8780813935923,6,569.8666932955234
2014-04-01,427.8972035789356,8,431.3561846386357
2014-04-01,429.1719158009228,9,446.3718097243825
2014-04-01,464.62696459478013,10,505.24842134420805
2014-04-01,772.8365869765074,11,747.2808463393734
2014-04-01,356.6599674563748,12,381.448659655679
2014-04-01,312.65419419998364,13,318.80635463232323
2014-04-01,566.964922806003,15,582.6958400852391
2014-04-01,329.947413990306,16,354.55611553732115
2014-04-01,342.96527154936143,17,348.58756540078673
2014-04-01,278.9138025542862,18,276.6436048470474
2014-04-01,289.1002196910514,19,289.4998341846166
2014-04-01,269.38166248721353,20,271.9495559793679
2014-04-01,326.58578352878214,21,328.87725821250393
2014-04-01,281.28273677213855,22,279.38033454026424
2014-04-01,506.43301322030834,23,545.8679665186246
2014-04-01,474.37343680537276,24,497.84007392085823
2014-04-01,722.5474977232411,25,767.5592377554008
2014-04-01,293.1499691396657,26,296.63971628636415
2014-04-01,363.3268251837593,27,390.6922874515912
2014-04-01,269.90057188731447,28,268.0428993231136
2014-04-01,308.76237369922615,29,311.751151402947
2014-04-01,422.8885998040477,30,430.13841687230513
2014-04-01,300.44854265847755,31,313.61505826148317
2014-04-01,281.66627850264797,32,306.4262456889094
2014-04-01,435.5793188282569,33,478.22872621600675
2014-04-01,523.1396397757339,34,562.8736794833692
2014-04-01,321.6110216712922,35,338.5894839305123
2014-04-01,640.0973063028456,36,678.764247138824
2014-04-01,344.1271773800224,37,350.57733750146485
2014-04-01,365.4701466189591,38,333.71278159003407
2014-04-01,272.14541907470795,39,286.4396905613726
2014-04-01,238.10045017242945,40,234.39314975366113
2014-04-01,448.0444250698135,41,482.7328198274871
2014-04-01,420.0571593817575,42,424.43707812268724
2014-04-01,504.97781077219895,44,552.9309915458858
2014-04-01,349.98182908985757,45,372.66793947903375
2014-04-01,354.821223277756,46,357.6261306882546
2014-04-01,332.23738373423,47,334.2024915167519
2014-04-01,279.071731502143,48,271.40251163282795
2014-04-01,391.9458066632426,49,423.67298740452617
2014-04-01,495.0057257789537,50,544.1720123510331
2014-04-01,458.47901626749655,51,467.3635970967517
2014-04-01,480.2393691543406,53,519.9049252633993
2014-04-01,236.88214114610537,54,240.5833034071673
2014-04-01,331.59438730367003,55,349.30708131270836
2014-04-01,315.0344090569686,56,314.7534031806409
2014-07-01,311.04598784518606,1,301.9721697495127
2014-07-01,340.2055042115364,2,349.2903301259015
2014-07-01,340.58448875146604,4,350.609002846948
2014-07-01,278.6985427017806,5,257.47350004940984
2014-07-01,552.7043650709031,6,567.95955880128
2014-07-01,432.1761347691652,8,426.57596047111946
2014-07-01,427.05984348011515,9,449.6627854717158
2014-07-01,464.92485766073145,10,486.5785202654615
2014-07-01,772.3816389807015,11,738.1131623417486
2014-07-01,360.0464595372641,12,373.38541249617845
2014-07-01,314.65748757863315,13,311.2787262071016
2014-07-01,571.1519948821835,15,573.6913033818412
2014-07-01,330.8089169421047,16,352.25740458611216
2014-07-01,343.5829252585564,17,350.75454026758683
2014-07-01,278.3418513700821,18,270.89122432516797
2014-07-01,288.6190203646444,19,281.1882808293898
2014-07-01,270.24941678217294,20,248.71974685373925
2014-07-01,324.1989807015674,21,328.79232202098837
2014-07-01,282.0759637488005,22,267.4738261863639
2014-07-01,509.14343618722677,23,531.4203265778567
2014-07-01,471.6908463588869,24,487.5407058559962
2014-07-01,722.1773340441412,25,751.9647948412987
2014-07-01,296.13183153854357,26,288.34934213351227
2014-07-01,362.48756583857556,27,377.9828112759604
2014-07-01,269.3799816611579,28,262.5314433589633
2014-07-01,307.75773963109077,29,305.18552323484823
2014-07-01,427.0821366883463,30,434.09823754804086
2014-07-01,299.70989145964387,31,312.18698793170773
2014-07-01,288.63016696876,32,311.749235900098
2014-07-01,437.2812794540996,33,451.7734950645226
2014-07-01,521.7502454419448,34,553.8964025632649
2014-07-01,320.50945473931125,35,322.0392389828209
2014-07-01,641.9440776202154,36,665.5367367241619
2014-07-01,343.3711397803604,37,352.12266016528025
2014-07-01,369.97808380424357,38,319.98791876438395
2014-07-01,271.87682098304725,39,271.49788467338465
2014-07-01,238.55962128158654,40,222.20582198886058
2014-07-01,450.31165966520956,41,490.8620300381175
2014-07-01,417.9419213135729,42,413.88736750016267
2014-07-01,507.82813690158866,44,562.1047963183444
2014-07-01,349.66897110566157,45,369.5061183655009
2014-07-01,353.7932146284252,46,364.35437237498155
2014-07-01,331.0207024203007,47,320.37137446867087
2014-07-01,280.6603450261222,48,281.4883677856987
2014-07-01,391.7139618296194,49,414.9411584822872
2014-07-01,490.7069529800619,50,522.9320899537568
2014-07-01,456.24165305469666,51,466.6981759777634
2014-07-01,484.79925279880587,53,516.4237016496327
2014-07-01,236.6089655613605,54,224.99858251645924
2014-07-01,331.17675487791877,55,346.8178012077326
2014-07-01,316.1399859260049,56,337.364154272964
2014-10-01,312.5274013155089,1,303.395857395309
2014-10-01,339.55149509030264,2,319.30361204676115
2014-10-01,346.25177576631376,4,345.4726681303152
2014-10-01,282.15874147947824,5,252.6226716328137
2014-10-01,559.0330685822023,6,571.4481002500372
2014-10-01,438.79591868073743,8,448.92431144936563
2014-10-01,426.90041205627176,9,434.1387882347409
2014-10-01,463.6460445157273,10,491.4334654898021
2014-10-01,789.5071158620337,11,751.5023290886485
2014-10-01,366.6313316327837,12,371.97640579893687
2014-10-01,317.0983082658659,13,313.14500645509384
2014-10-01,579.1673562708481,15,566.4333587849404
2014-10-01,331.9035873636077,16,353.39168657065824
2014-10-01,345.0923261984184,17,348.0545113131948
2014-10-01,279.806396683075,18,280.58206282449714
2014-10-01,289.98502606277253,19,279.56441005744523
2014-10-01,270.1963435337878,20,257.12847561237595
2014-10-01,326.67491575454073,21,331.63666041555473
2014-10-01,282.97258588771257,22,248.80075878868308
2014-10-01,506.98047211581945,23,530.8183569673823
2014-10-01,476.0320874958411,24,498.98104032073536
2014-10-01,727.1309588199665,25,755.118592729644
2014-10-01,298.6697492684508,26,294.9861277681102
2014-10-01,363.8553418019571,27,383.48956608711643
2014-10-01,272.59328254434087,28,257.7787560526362
2014-10-01,310.55410733937913,29,302.34567248873327
