HPI,Fips,datetime,HPI_inf
344.01,21,2018-10-01,345.4533542348656
347.46,21,2019-01-01,347.4281992659776
352.95,21,2019-04-01,350.0344249203514
358.29,21,2019-07-01,352.4191236442104
360.75,21,2019-10-01,351.92384924596126
160.08,22,2000-01-01,252.03920963855424
160.69,22,2000-04-01,250.13661941631923
162.59,22,2000-07-01,249.08864243845258
163.97,22,2000-10-01,249.59347233546887
168.23,22,2001-01-01,252.54791958644458
169.94,22,2001-04-01,253.22416419612313
171.52,22,2001-07-01,252.4125405405406
173.15,22,2001-10-01,256.10913412563673
174.12,22,2002-01-01,256.2387567567568
175.52,22,2002-04-01,255.56494261838444
178.57,22,2002-07-01,257.5665298013245
181.22,22,2002-10-01,261.1006571113561
183.19,22,2003-01-01,262.6359758639605
185.06,22,2003-04-01,262.722876697447
186.76,22,2003-07-01,262.56908875739646
189.9,22,2003-10-01,267.271211631664
192.02,22,2004-01-01,269.3845797101449
194.98,22,2004-04-01,270.488178343949
198.24,22,2004-07-01,271.40914824515454
200.95,22,2004-10-01,274.9753507853403
203.14,22,2005-01-01,276.81267153284665
207.37,22,2005-04-01,278.79744444444447
211.35,22,2005-07-01,280.9686469989827
218.45,22,2005-10-01,287.77264112903225
225.02,22,2006-01-01,294.05613600000004
230.95,22,2006-04-01,299.2617352503719
235.75,22,2006-07-01,301.0044943820225
239.55,22,2006-10-01,306.3052250489237
242.15,22,2007-01-01,307.1398884774602
244.57,22,2007-04-01,306.5143794265876
245.74,22,2007-07-01,303.9794704807702
246.71,22,2007-10-01,306.0266709697629
247.31,22,2008-01-01,304.5407248261435
246.95,22,2008-04-01,300.3529805947229
243.87,22,2008-07-01,290.2320622922453
244.61,22,2008-10-01,294.0950745918494
247.88,22,2009-01-01,298.65170379111964
246.07,22,2009-04-01,296.2006171531737
242.64,22,2009-07-01,290.78749294999653
242.99,22,2009-10-01,293.1872029250457
240.87,22,2010-01-01,291.5539340048628
239.58,22,2010-04-01,290.16315628504435
242.59,22,2010-07-01,292.0789142972968
242.05,22,2010-10-01,292.74496992133277
238.47,22,2011-01-01,287.56485542518885
237.46,22,2011-04-01,284.819920973286
237.72,22,2011-07-01,282.1164201062526
240.69,22,2011-10-01,285.7604702504793
239.46,22,2012-01-01,283.4413423609067
240.0,22,2012-04-01,282.95666765907924
243.64,22,2012-07-01,285.1463862866969
243.65,22,2012-10-01,284.65841185831533
243.24,22,2013-01-01,282.8115414386761
244.7,22,2013-04-01,283.00333648987106
246.44,22,2013-07-01,282.0354260992933
245.93,22,2013-10-01,281.4665522284794
246.87,22,2014-01-01,280.21829268292686
249.35,22,2014-04-01,281.28273677213855
253.06,22,2014-07-01,282.0759637488005
253.82,22,2014-10-01,282.97258588771257
257.25,22,2015-01-01,285.5165297152685
259.38,22,2015-04-01,286.3097209610731
262.35,22,2015-07-01,286.79254658385094
262.62,22,2015-10-01,286.71594310658116
265.35,22,2016-01-01,288.4565434399228
268.99,22,2016-04-01,290.76151371024446
271.29,22,2016-07-01,289.4811477283862
272.87,22,2016-10-01,289.59694961504727
271.31,22,2017-01-01,285.9926176283163
275.31,22,2017-04-01,288.3806984778409
278.78,22,2017-07-01,289.2839194822726
279.87,22,2017-10-01,288.97510400000004
280.05,22,2018-01-01,287.1958313877979
280.55,22,2018-04-01,285.34394421116946
282.39,22,2018-07-01,284.6685684311215
282.66,22,2018-10-01,283.8459495596847
285.86,22,2019-01-01,285.83383710980365
288.51,22,2019-04-01,286.1267373105839
290.74,22,2019-07-01,285.9759859563977
293.04,22,2019-10-01,285.870449849027
277.18,23,2000-01-01,436.408221686747
284.93,23,2000-04-01,443.53367957117337
291.29,23,2000-07-01,446.25764595545144
297.16,23,2000-10-01,452.3339405940595
305.61,23,2001-01-01,458.78362780011497
311.43,23,2001-04-01,464.05555758266814
320.72,23,2001-07-01,471.9784864864866
325.7,23,2001-10-01,481.748455008489
332.91,23,2002-01-01,489.9175540540541
343.36,23,2002-04-01,499.9474629526463
353.1,23,2002-07-01,509.30582781456957
359.55,23,2002-10-01,518.0374200661522
366.24,23,2003-01-01,525.0712364234778
371.49,23,2003-04-01,527.3906920152092
382.27,23,2003-07-01,537.4399526627219
396.6,23,2003-10-01,558.1872697899839
405.49,23,2004-01-01,568.8613333333334
417.29,23,2004-04-01,578.8902038216561
437.17,23,2004-07-01,598.5267218438973
446.29,23,2004-10-01,610.6929549738221
459.38,23,2005-01-01,625.9830907194994
469.56,23,2005-04-01,631.2973333333333
481.69,23,2005-07-01,640.3585879959309
489.4,23,2005-10-01,644.705564516129
493.83,23,2006-01-01,645.337044
491.0,23,2006-04-01,636.2308378780367
494.28,23,2006-07-01,631.0943859306302
501.7,23,2006-10-01,641.5083757338552
505.06,23,2007-01-01,640.6114890539998
501.72,23,2007-04-01,628.7950052987184
498.63,23,2007-07-01,616.8034644983577
504.55,23,2007-10-01,625.8593362157751
506.87,23,2008-01-01,624.166257703398
498.92,23,2008-04-01,606.8115370654755
487.28,23,2008-07-01,579.9166741040935
484.05,23,2008-10-01,581.9742482162818
488.4,23,2009-01-01,588.4359050007376
477.49,23,2009-04-01,574.7666626751287
466.61,23,2009-07-01,559.2002641172021
461.49,23,2009-10-01,556.8252285191957
458.4,23,2010-01-01,554.8566585620007
452.81,23,2010-04-01,548.4129676827404
458.31,23,2010-07-01,551.8062871989534
459.13,23,2010-10-01,555.2902211938917
451.47,23,2011-01-01,544.4160912433849
444.09,23,2011-04-01,532.6609900826521
447.73,23,2011-07-01,531.3477400899061
450.67,23,2011-10-01,535.0603312467634
445.48,23,2012-01-01,527.3007984420643
441.25,23,2012-04-01,520.2276233523696
442.17,23,2012-07-01,517.4978559529994
442.84,23,2012-10-01,517.3738194432027
445.85,23,2013-01-01,518.3831843053517
447.93,23,2013-04-01,518.0452983813157
444.76,23,2013-07-01,509.00047115696185
442.76,23,2013-10-01,506.73822089489494
444.82,23,2014-01-01,504.9082551594747
448.94,23,2014-04-01,506.43301322030834
456.77,23,2014-07-01,509.14343618722677
454.75,23,2014-10-01,506.98047211581945
460.74,23,2015-01-01,511.3659315879992
463.8,23,2015-04-01,511.95330627552516
466.52,23,2015-07-01,509.9845962732919
469.13,23,2015-10-01,512.1736744710624
473.49,23,2016-01-01,514.7212690912721
477.77,23,2016-04-01,516.4397501964515
488.19,23,2016-07-01,520.9252147499755
492.0,23,2016-10-01,522.1596335639802
495.56,23,2017-01-01,522.3784659315485
500.74,23,2017-04-01,524.5132794151831
510.45,23,2017-07-01,529.6828205026403
516.09,23,2017-10-01,532.880128
521.62,23,2018-01-01,534.9297967095274
531.28,23,2018-04-01,540.358334273784
537.95,23,2018-07-01,542.2906490581175
